product_code,product_name,product_type,brand_name,unit_price,quantity_in_stock
P1081,Nilkamal Sofa 3-Seater,Home Décor,Nilkamal,44234,116
P1082,Godrej Interio Dining Table 6-Seater,Home Décor,Godrej Interio,30365,121
P1083,Nilkamal Dining Table 6-Seater,Home Décor,Nilkamal,20212,189
P1084,Godrej Interio Wardrobe 3-Door,Home Décor,Godrej Interio,41582,72
P1085,Nilkamal Wardrobe 3-Door,Home Décor,Nilkamal,34403,200
P1086,Godrej Interio Bed Frame Queen,Home Décor,Godrej Interio,20854,134
P1087,Nilkamal Bed Frame Queen,Home Décor,Nilkamal,18486,165
P1088,Godrej Interio Study Table,Home Décor,Godrej Interio,9889,168
P1089,Nilkamal Study Table,Home Décor,Nilkamal,13317,160
P1090,Godrej Interio Bookshelf 5-Shelf,Home Décor,Godrej Interio,9258,44
P1091,Nilkamal Bookshelf 5-Shelf,Home Décor,Nilkamal,12126,200
P1092,Godrej Interio Wall Mirror,Home Décor,Godrej Interio,3323,143
P1093,Nilkamal Wall Mirror,Home Décor,Nilkamal,6344,5
P1094,Godrej Interio Floor Lamp,Home Décor,Godrej Interio,7906,87
P1095,Nilkamal Floor Lamp,Home Décor,Nilkamal,7002,9
P1096,Godrej Interio Decorative Vase,Home Décor,Godrej Interio,1258,97
P1097,Nilkamal Decorative Vase,Home Décor,Nilkamal,2059,66
P1098,Godrej Interio Area Rug 6x9ft,Home Décor,Godrej Interio,5949,66
P1099,Nilkamal Area Rug 6x9ft,Home Décor,Nilkamal,14295,25
